stock,strike,maturity,spot,vol,div_yield,price,delta,gamma,theta,vega,moneyness
MCD,310.0,1.0,250.0,0.15,0.025,1.2857240647119,0.07987716050215456,0.003935642419011288,-0.007237500394370906,0.36896647678230826,1.24
MCD,320.0,0.1,250.0,0.15,0.025,2.2128452258590145e-07,1.0427156418092312e-07,4.7231676654352756e-08,-9.061645890935316e-08,4.427969686345571e-07,1.28
MCD,320.0,0.2,250.0,0.15,0.025,0.0004998914846553668,0.00012482463371141895,2.905669421651291e-05,-5.551906712096785e-05,0.0005448130165596171,1.28
MCD,320.0,0.30000000000000004,250.0,0.15,0.025,0.008126249188699641,0.001421795402497176,0.00022609670296391617,-0.0004302314384509811,0.006358969770860145,1.28
MCD,320.0,0.4,250.0,0.15,0.025,0.03611169074456311,0.004950935207577926,0.0006036844250032372,-0.001143985502756267,0.0226381659376214,1.28
MCD,320.0,0.5,250.0,0.15,0.025,0.09334071721200932,0.010648198882024286,0.001059977524575282,-0.0020003277644389714,0.04968644646446635,1.28
MCD,320.0,0.6,250.0,0.15,0.025,0.18200282556333924,0.017932222435440303,0.0015157445541679436,-0.0028485001509418306,0.08526063117194684,1.28
MCD,320.0,0.7000000000000001,250.0,0.15,0.025,0.30028068786816764,0.02620677190956653,0.0019322361338654558,-0.0036159985013145958,0.12680299628492056,1.28
MCD,320.0,0.8,250.0,0.15,0.025,0.44468557574905176,0.03500898264270836,0.0022959585871018384,-0.004278605319829078,0.17219689403263785,1.28
MCD,320.0,0.9,250.0,0.15,0.025,0.6113302226732333,0.0440145985863043,0.002605848190343041,-0.004835594948352344,0.21986844106019407,1.28
MCD,320.0,1.0,250.0,0.15,0.025,0.7965082081006241,0.0530077250042213,0.002866122422248372,-0.005296034267742732,0.2686989770857849,1.28
